N0000171648	C0032046	M0016938	D010923	Placenta Previa
N0000001375	C0265240	M0009531	D006053	Goldenhar Syndrome
N0000001395	C0018414	M0009714	D006175	Gynatresia
N0000003659	C0206611	M0027409	D018182	Pestivirus Infections
N0000000478	C0003864	M0001741	D001168	Arthritis
N0000000587	C0005943	M0002779	D001850	Bone Diseases, Infectious
N0000002137	C0027663	M0014601	D009378	Neoplasms, Multiple Primary
N0000001648	C0848558	M0010926	D007021	Hypospadias
N0000001319	C0017168	M0009024	D005764	Gastroesophageal Reflux
N0000001906	C0024301	M0012818	D008224	Lymphoma, Follicular
N0000000427	C0003152	M0001298	D000868	Anterior Compartment Syndrome
N0000002495	C0033300	M0017668	D011371	Progeria
N0000002372	C0031099	M0016341	D010518	Periodontitis
N0000003134	C0042870	M0022798	D014808	Vitamin D Deficiency
N0000003656	C0206607	M0027403	D018176	Torovirus Infections
N0000000334	C0001733	M0000532	D000347	Afibrinogenemia
N0000182207	C0878585	M0541735	D058288	Sister Mary Joseph's Nodule
N0000003762	C0206712	M0027532	D018298	Mucoepidermoid Tumor
N0000003365	C0037231	M0024610	D016111	Sjogren-Larsson Syndrome
N0000001611	C0020522	M0010853	D006968	Hypersensitivity, Delayed
N0000003955	C0524911	M0029255	D019701	Hepatitis D, Chronic
N0000001751	C0022665	M0012021	D007680	Kidney Neoplasms
N0000002008	C0025637	M0013565	D008708	Methemoglobinemia
N0000003283	C0024959	M0023883	D015523	Maxillary Sinusitis
N0000182233	C2936258	M0539513	D057873	Peri-Implantitis
N0000002905	C0039494	M0021153	D013705	Temporomandibular Joint Disorders
N0000002807	C0038000	M0020371	D013161	Splenic Rupture
N0000004105	C0729544	M0328044	D020314	Central Nervous System Fungal Infections
N0000181202	C1266065	M0534429	D057090	Eccrine Porocarcinoma
N0000004151	C0152181	M0328336	D020437	Hypoglossal Nerve Diseases
N0000011003	C0950124	M0387084	D030361	Papillomavirus Infections
N0000000909	C0011156	M0005753	D003677	Deficiency Diseases
N0000004039	C0751799	M0328167	D020201	Brain Hemorrhage, Traumatic
N0000000420	C0003119	M0001270	D000853	Anophthalmos
N0000000998	C0013142	M0006811	D004332	Drowning
N0000002860	C0038828	M0020821	D013478	Superior Mesenteric Artery Syndrome
N0000001321	C0017185	M0009038	D005770	Gastrointestinal Neoplasms
N0000003619	C0206139	M0026733	D017676	Lichen Planus, Oral
N0000003791	C0206737	M0027565	D018330	Nevus, Intradermal
N0000001939	C0242387	M0012984	D008342	Mandibulofacial Dysostosis
N0000000850	C0009995	M0005164	D003310	Cor Triatriatum
N0000001206	C0015556	M0008171	D005184	Fallopian Tube Diseases
N0000003545	C0162626	M0026096	D017191	Ascaridida Infections
N0000000487	C0003949	M0001784	D001195	Asbestosis
N0000001932	C1305740	M0012946	D008312	Malocclusion, Angle Class II
N0000181209	C1299624	M0511377	D054972	Postural Orthostatic Tachycardia Syndrome
N0000004104	C0275904	M0328653	D020306	Tuberculosis, Central Nervous System
N0000002046	C0026707	M0014173	D009085	Mucopolysaccharidosis IV
N0000001007	C0013292	M0006883	D004380	Duodenal Obstruction
N0000004241	C0887833	M0352972	D021441	Carcinoma, Pancreatic Ductal
N0000000650	C0006840	M0003258	D002177	Candidiasis
N0000181086	C0265334	M0494472	D053549	Pachyonychia Congenita
N0000003154	C0043065	M0022901	D014883	Water-Electrolyte Imbalance
N0000171678	C0878677	M0483279	D052120	Glycogen Storage Disease Type IIb
N0000011029	C0751336	M0335585	D049310	Distal Myopathies
N0000002906	C0039496	M0021154	D013706	Temporomandibular Joint Dysfunction Syndrome
N0000001993	C0025323	M0013382	D008595	Menorrhagia
N0000011022	C0686353	M0335588	D049288	Muscular Dystrophies, Limb-Girdle
N0000000860	C0010074	M0005196	D003330	Coronary Vessel Anomalies
N0000002451	C0032453	M0017161	D011081	Polychondritis, Relapsing
N0000000641	C0006625	M0003126	D002100	Cachexia
N0000001768	C0022821	M0012094	D007738	Kyphosis
N0000003443	C0085166	M0025299	D016585	Vaginosis, Bacterial
N0000003987	C0149678	M0029738	D020031	Epstein-Barr Virus Infections
N0000000674	C0007128	M0003438	D002287	Carcinoma, Krebs 2
N0000002847	C0038531	M0020650	D013349	Subclavian Steal Syndrome
N0000000589	C0005956	M0002788	D001855	Bone Marrow Diseases
N0000003286	C0008340	M0023892	D015529	Choledochal Cyst
N0000003489	C0085390	M0025667	D016864	Li-Fraumeni Syndrome
N0000010979	C0342488	M0442605	D043204	Mineralocorticoid Excess Syndrome, Apparent
N0000002709	C0036489	M0019573	D012618	Sea-Blue Histiocyte Syndrome
N0000003125	C0042636	M0022654	D014735	Vibrio Infections
N0000010953	C0267841	M0440433	D042101	Acalculous Cholecystitis
N0000011051	C0400822	M0455264	D046730	Colitis, Lymphocytic
N0000000865	C0010261	M0005276	D003387	Cracked Tooth Syndrome
N0000004081	C0751850	M0328325	D020260	Heavy Metal Poisoning, Nervous System
N0000001264	C0016395	M0008655	D005489	Focal Dermal Hypoplasia
N0000002266	C0029882	M0015563	D010033	Otitis Media
N0000000455	C0003614	M0001609	D001063	Appendiceal Neoplasms
N0000000438	C0003490	M0001546	D001015	Aortic Arch Syndromes
N0000003949	C0524851	M0029135	D019636	Neurodegenerative Diseases
N0000002414	C0032051	M0016942	D010927	Placental Insufficiency
N0000003657	C0206608	M0027404	D018177	Flavivirus Infections
N0000003981	C0236736	M0029669	D019970	Cocaine-Related Disorders
N0000001236	C0015938	M0008403	D005320	Fetal Macrosomia
N0000003980	C0236733	M0029662	D019969	Amphetamine-Related Disorders
N0000003253	C0023464	M0023813	D015456	Leukemia, Biphenotypic, Acute
N0000000912	C0011206	M0005774	D003693	Delirium
N0000000723	C0007786	M0003886	D002545	Brain Ischemia
N0000004003	C0751741	M0328279	D020146	Putaminal Hemorrhage
N0000002424	C0032238	M0017047	D011000	Pleurodynia, Epidemic
N0000001748	C0022658	M0012014	D007674	Kidney Diseases
N0000003797	C0206746	M0027580	D018347	Hepadnaviridae Infections
N0000003916	C0376538	M0028764	D019318	Porcine Reproductive and Respiratory Syndrome
N0000003243	C0023351	M0023795	D015441	Leprosy, Tuberculoid
N0000000349	C0001925	M0000630	D000419	Albuminuria
N0000004057	C0161407	M0328087	D020222	Abducens Nerve Injury
N0000001952	C0024953	M0013133	D008440	Maxillary Fractures
N0000002467	C0032787	M0017367	D011183	Postoperative Complications
N0000182240	C2936331	M0540771	D058088	Sarcoglycanopathies
N0000001850	C0023787	M0012562	D008060	Lipodystrophy
N0000002704	C0036454	M0019563	D012607	Scotoma
N0000002215	C0028960	M0015283	D009845	Oligospermia
N0000004033	C0270857	M0328392	D020195	Epilepsy, Reflex
N0000181228	C1609538	M0524639	D055985	Latent Tuberculosis
N0000003282	C0016735	M0023882	D015522	Frontal Sinusitis
N0000004038	C0749095	M0328328	D020200	Hematoma, Subdural, Chronic
N0000003042	C0041318	M0022122	D014390	Tuberculosis, Meningeal
N0000002939	C0040100	M0021471	D013953	Thymus Neoplasms
N0000003904	C0004277	M0028623	D019217	Tooth Attrition
N0000171636	C1262087	M0477928	D050798	SUNCT Syndrome
N0000002981	C0040456	M0021700	D014095	Tooth, Impacted
N0000001535	C0019522	M0010344	D006607	Adenoma, Sweat Gland
N0000003023	C0041182	M0022033	D014328	Trophoblastic Neoplasms
N0000001979	C0025286	M0013362	D008579	Meningioma
N0000000484	C0003892	M0001755	D001177	Arthropathy, Neurogenic
N0000182204	C0853897	M0540683	D058065	Diabetic Cardiomyopathies
N0000011154	C2931834	M0446507	D044903	Congenital Hyperinsulinism
N0000003469	C0085293	M0025508	D016751	Hepatitis E
N0000004127	C0409959	M0030009	D020370	Osteoarthritis, Knee
N0000003260	C0023486	M0023820	D015463	Leukemia, Prolymphocytic
N0000003017	C0040963	M0021950	D014264	Tricuspid Valve Stenosis
N0000181201	C1264041	M0528885	D056729	von Willebrand Disease, Type 3
N0000002747	C0037073	M0019837	D012811	Sigmoid Neoplasms
N0000000459	C0003650	M0001633	D001079	Apudoma
N0000000891	C0010678	M0005552	D003551	Cysticercosis
N0000002574	C2242813	M0018473	D011900	Ranula
N0000002051	C0026766	M0014196	D009102	Multiple Organ Failure
N0000000396	C0002892	M0001137	D000752	Anemia, Pernicious
N0000000896	C0010709	M0005563	D003560	Cysts
N0000011037	C0340274	M0452741	D046110	Hypertension, Pregnancy-Induced
N0000001125	C0014541	M0007563	D004826	Epiglottitis
N0000000388	C0002880	M0001127	D000744	Anemia, Hemolytic, Autoimmune
N0000181181	C0872084	M0523339	D055948	Sarcopenia
N0000003957	C0524948	M0029330	D019767	Maxillofacial Abnormalities
N0000001571	C0020312	M0010738	D006876	Hydrothorax
N0000002013	C0026034	M0013825	D008865	Microstomia
N0000000576	C0005806	M0002697	D001787	Blood Group Incompatibility
N0000181231	C1701940	M0495804	D053717	Pneumonia, Ventilator-Associated
N0000002604	C0035244	M0018921	D012142	Respiratory Tract Neoplasms
N0000001368	C0017927	M0009476	D006015	Glycogen Storage Disease Type VIII
N0000002519	C0033817	M0017955	D011552	Pseudomonas Infections
N0000000483	C0003886	M0001754	D001176	Arthrogryposis
N0000000664	C0007097	M0003424	D002277	Carcinoma
N0000000761	C0008354	M0004244	D002771	Cholera
N0000181259	C1955906	M0504532	D054391	Lymphoma, Extranodal NK-T-Cell
N0000001437	C0018809	M0009959	D006338	Heart Neoplasms
N0000181208	C1292772	M0504880	D054438	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative
N0000002851	C0038554	M0020665	D013362	Sublingual Gland Neoplasms
N0000181265	C1960100	M0534603	D057096	Shellfish Poisoning
N0000001782	C0023051	M0012226	D007818	Laryngeal Diseases
N0000182235	C2936290	M0540011	D057925	Femoracetabular Impingement
N0000003685	C0206637	M0027440	D018211	Chondrosarcoma, Mesenchymal
N0000002230	C0029172	M0015375	D009914	Oral Submucous Fibrosis
N0000183375	C0158940	M0549003	D059245	Transient Tachypnea of the Newborn
N0000003929	C0227791	M0029010	D019522	Vaginal Discharge
N0000003009	C0040921	M0021928	D014245	Trichomonas Infections
N0000002966	C0040412	M0021660	D014063	Tongue, Fissured
N0000003542	C0162623	M0026092	D017188	Adenophorea Infections
N0000011133	C0239981	M0404823	D034141	Hypoalbuminemia
N0000000469	C0003811	M0001715	D001145	Arrhythmias, Cardiac
N0000000659	C0007020	M0003373	D002249	Carbon Monoxide Poisoning
N0000001643	C0020630	M0010915	D007014	Hypophosphatasia
N0000011113	C0266284	M0452908	D046151	Lingual Thyroid
N0000000712	C0007760	M0003858	D002526	Cerebellar Diseases
N0000004031	C0751783	M0328685	D020192	Lafora Disease
N0000003185	C0043515	M0023152	D015043	Zollinger-Ellison Syndrome
N0000001396	C0018418	M0009717	D006177	Gynecomastia
N0000003432	C0085131	M0025239	D016537	Gangliosidosis, GM1
N0000002591	C0035066	M0018770	D012078	Renal Artery Obstruction
N0000001404	C0018536	M0009766	D006215	Hallux Valgus
N0000000473	C0003850	M0001734	D001161	Arteriosclerosis
N0000000465	C0003782	M0001694	D001129	Argyria
N0000004117	C0037771	M0023856	D020336	Paraparesis, Spastic
N0000002531	C0033941	M0018041	D011605	Psychoses, Substance-Induced
N0000003081	C0042029	M0022373	D014552	Urinary Tract Infections
N0000171623	C0546297	M0475616	D050488	Hallux Varus
N0000000491	C0003969	M0001803	D001206	Ascorbic Acid Deficiency
N0000181029	C0029429	M0015519	D055034	Osteochondrosis
N0000001048	C0013568	M0007029	D004473	Ecthyma
N0000000317	C0001519	M0000423	D000270	Adie Syndrome
N0000002441	C0032310	M0017077	D011024	Pneumonia, Viral
N0000181173	C0751072	M0334714	D057174	Frontotemporal Lobar Degeneration
N0000002654	C0035869	M0019278	D012400	Rotavirus Infections
N0000000605	C0006111	M0002874	D001927	Brain Diseases
N0000002171	C0027831	M0014710	D009456	Neurofibromatosis 1
N0000002072	C0026919	M0014288	D009165	Mycobacterium Infections, Nontuberculous
N0000003343	C0008521	M0024286	D015862	Choroid Diseases
N0000003820	C0242670	M0027694	D018458	Persistent Vegetative State
N0000000502	C0004134	M0001897	D001259	Ataxia
N0000001560	C0020217	M0010673	D006828	Hydatidiform Mole
N0000189380	C3539878	M0583085	D064726	Triple Negative Breast Neoplasms
N0000002554	C0034151	M0018179	D011694	Purpura, Hyperglobulinemic
N0000011119	C0949658	M0371730	D024741	Cardiomyopathy, Hypertrophic, Familial
N0000003802	C0206753	M0027588	D018355	Rubivirus Infections
N0000000536	C0004782	M0002198	D001480	Basal Ganglia Diseases
N0000001181	C0015397	M0008088	D005128	Eye Diseases
N0000171668	C1563715	M0472066	D050030	Andersen Syndrome
N0000001493	C0019112	M0010177	D006484	Hemorrhoids
N0000003595	C0032026	M0026580	D017515	Pityriasis Rosea
N0000001162	C0014859	M0007750	D004938	Esophageal Neoplasms
N0000011124	C0221406	M0335445	D047748	Pituitary ACTH Hypersecretion
N0000004230	C0752330	M0328089	D020943	AIDS Arteritis, Central Nervous System
N0000181089	C0265962	M0529110	D056770	Netherton Syndrome
N0000000366	C0002448	M0000883	D000564	Ameloblastoma
N0000003073	C0041971	M0022333	D014523	Urethral Neoplasms
N0000003364	C0079298	M0024607	D016110	Epidermolysis Bullosa Simplex
N0000182217	C1609535	M0541978	D058365	Candidiasis, Invasive
N0000003033	C0041308	M0022110	D014381	Tuberculosis, Cardiovascular
N0000002098	C0027127	M0014373	D009224	Myotonia Congenita
N0000001096	C0014118	M0007392	D004696	Endocarditis
N0000000781	C0008533	M0004363	D002836	Hemophilia B
N0000002000	C0025472	M0013465	D008641	Mesenteric Vascular Occlusion
N0000000553	C0005586	M0002571	D001714	Bipolar Disorder
N0000000904	C0011071	M0005707	D003645	Death, Sudden
N0000001846	C0023760	M0012537	D008047	Lip Diseases
N0000002376	C0031118	M0016348	D010524	Peripheral Nervous System Neoplasms
N0000001505	C0019191	M0010230	D006522	Hepatitis, Infectious Canine
N0000000745	C0008029	M0004034	D002636	Cherubism
N0000002987	C0040524	M0021721	D014115	Toxemia
N0000001764	C0022790	M0012080	D007725	Krukenberg Tumor
N0000001703	C0021845	M0011577	D007416	Intestinal Perforation
N0000185619	C0700359	M0560972	D062025	Organophosphate Poisoning
N0000002780	C0037579	M0020121	D012983	Soft Tissue Neoplasms
N0000002323	C0030524	M0015933	D010283	Paratuberculosis
N0000002817	C0038160	M0020423	D013203	Staphylococcal Infections
N0000002631	C0035441	M0019013	D012215	Rheumatic Nodule
N0000001839	C0023531	M0012422	D007971	Leukoplakia
N0000002118	C0027577	M0014557	D009347	Nelson Syndrome
N0000003867	C0282504	M0028231	D018876	Environmental Illness
N0000003362	C0079294	M0024601	D016108	Epidermolysis Bullosa Dystrophica
N0000182250	C2936490	M0544074	D058687	Out-of-Hospital Cardiac Arrest
N0000000880	C0010414	M0005381	D003453	Cryptococcosis
N0000003844	C0242891	M0027984	D018677	Tooth Injuries
N0000003202	C0037367	M0023370	D015208	Smoke Inhalation Injury
N0000001169	C0015190	M0007966	D005067	Euthyroid Sick Syndromes
N0000000508	C0004239	M0001927	D001282	Atrial Flutter
N0000001448	C0018889	M0010007	D006373	Helminthiasis
N0000001440	C0018816	M0009964	D006343	Heart Septal Defects
N0000003231	C0037773	M0023769	D015419	Spastic Paraplegia, Hereditary
N0000001352	C0017661	M0009301	D005922	Glomerulonephritis, IGA
N0000182177	C0265233	M0542891	D058497	Fraser Syndrome
N0000003234	C0035126	M0023776	D015427	Reperfusion Injury
N0000000707	C0007642	M0003788	D002481	Cellulitis
N0000002102	C0027155	M0014388	D009236	Myxosarcoma
N0000004237	C0553604	M0328274	D020967	Myotonic Disorders
N0000003326	C0015405	M0024239	D015821	Eye Infections, Fungal
N0000011110	C0234362	M0454922	D046608	Synkinesis
N0000010940	C0877172	M0455304	D046748	Hematoma, Epidural, Spinal
N0000001462	C0018946	M0010050	D006408	Hematoma, Subdural
N0000003607	C0206067	M0026635	D017573	Focal Epithelial Hyperplasia
N0000004204	C0013384	M0014140	D020820	Dyskinesias
N0000010964	C0740340	M0383396	D028226	Amyloidosis, Familial
N0000003609	C0423772	M0026639	D017577	Cutaneous Fistula
N0000002575	C0034686	M0018507	D011906	Rat-Bite Fever
N0000003305	C0024667	M0024029	D015674	Mammary Neoplasms, Animal
N0000002614	C0035334	M0018960	D012174	Retinitis Pigmentosa
N0000000631	C0006384	M0003027	D002037	Bundle-Branch Block
N0000002481	C0032965	M0017477	D011251	Pregnancy Complications, Infectious
N0000001953	C0024954	M0013134	D008441	Maxillary Neoplasms
N0000182192	C0341106	M0538966	D057765	Eosinophilic Esophagitis
N0000000858	C0010072	M0005194	D003328	Coronary Thrombosis
N0000001943	C0024788	M0013025	D008379	Marburg Virus Disease
N0000002223	C0029089	M0015332	D009886	Ophthalmoplegia
N0000003520	C0085548	M0025899	D017044	Polycystic Kidney, Autosomal Recessive
N0000003600	C0162871	M0026607	D017544	Aortic Aneurysm, Abdominal
N0000001205	C0015544	M0008170	D005183	Failure to Thrive
N0000003410	C0079774	M0025095	D016411	Lymphoma, T-Cell, Peripheral
N0000171640	C0206727	M0027552	D018317	Nerve Sheath Neoplasms
N0000000521	C0034935	M0002100	D001405	Reflex, Babinski
N0000001581	C0020445	M0010819	D006938	Hyperlipoproteinemia Type II
N0000001859	C0023860	M0012614	D008088	Listeriosis
N0000003295	C0010668	M0023957	D015615	Cystic Adenomatoid Malformation of Lung, Congenital
N0000001042	C0013504	M0006961	D004444	Echinococcosis, Hepatic
N0000000296	C0001231	M0000272	D000182	ACTH Syndrome, Ectopic
N0000000007	C0009450			Infectious Diseases
N0000002367	C0031069	M0016320	D010505	Familial Mediterranean Fever
N0000003369	C0078918	M0024616	D016115	Albinism, Oculocutaneous
N0000002916	C0039621	M0021207	D013746	Tetany
N0000001525	C0019337	M0010272	D006556	Heroin Dependence
N0000001615	C0020534	M0010858	D006972	Hypertelorism
N0000000874	C0010334	M0005331	D003420	Crisscross Heart
N0000181164	C0587248	M0528444	D056685	Costello Syndrome
N0000011062	C0154778	M0459480	D047728	Myopia, Degenerative
N0000000323	C0001618	M0000481	D000306	Adrenal Cortex Neoplasms
N0000181060	C0162359	M0007033	D053358	Ectodermal Dysplasia 1, Anhidrotic
N0000010975	C0878675	M0396932	D031249	Erdheim-Chester Disease
N0000003709	C0206658	M0027464	D018235	Smooth Muscle Tumor
N0000001093	C0014100	M0007386	D004692	Endarteritis
N0000185626	C3203727	M0572086	D063205	Pneumorrhachis
N0000003990	C0600452	M0029773	D020065	Hepatopulmonary Syndrome
N0000002116	C0027538	M0014543	D009335	Necrobiosis Lipoidica
N0000001314	C0017152	M0009015	D005756	Gastritis
N0000001698	C0021831	M0011569	D007410	Intestinal Diseases
N0000001671	C0021099	M0011174	D007169	Impetigo
N0000000823	C0009442	M0004863	D003138	Common Bile Duct Neoplasms
N0000003771	C0206720	M0027541	D018307	Neoplasms, Squamous Cell
N0000002758	C1527336	M0019911	D012859	Sjogren's Syndrome
N0000181279	C2350476	M0518960	D055622	Orbital Myositis
N0000004141	C0747533	M0328257	D020427	Peroneal Neuropathies
N0000000596	C0006057	M0002845	D001906	Botulism
N0000002932	C0040034	M0021428	D013921	Thrombocytopenia
N0000002679	C0036224	M0019440	D012517	Sarcoma, Yoshida
N0000000566	C0005699	M0002638	D001752	Blast Crisis
N0000001211	C0015644	M0008236	D005207	Fasciculation
N0000000999	C0013182	M0006829	D004342	Drug Hypersensitivity
N0000002948	C0040156	M0021495	D013971	Thyrotoxicosis
N0000004133	C0238288	M0328187	D020391	Muscular Dystrophy, Facioscapulohumeral
N0000002318	C0030491	M0015909	D010267	Parapsoriasis
N0000004044	C0475073	M0328646	D020206	Subarachnoid Hemorrhage, Traumatic
N0000001085	C0014070	M0007368	D004679	Encephalomyelitis
N0000002066	C0151491	M0014258	D009139	Musculoskeletal Abnormalities
N0000002030	C0026552	M0014067	D009021	Morphine Dependence
N0000002715	C0036659	M0019651	D012678	Sensation Disorders
N0000003140	C0042940	M0022831	D014832	Voice Disorders
N0000001387	C0018194	M0009608	D006101	Granuloma, Giant Cell
N0000001553	C0019911	M0010535	D006725	Hookworm Infections
N0000003279	C0027429	M0023869	D015508	Nasal Obstruction
N0000002492	C0033117	M0017569	D011317	Priapism
N0000000462	C0003723	M0001658	D001102	Arbovirus Infections
N0000001022	C0013386	M0006920	D004409	Dyskinesia, Drug-Induced
N0000002787	C0037822	M0020248	D013064	Speech Disorders
N0000000678	C0007134	M0003442	D002292	Carcinoma, Renal Cell
N0000002316	C0030486	M0015903	D010264	Paraplegia
N0000000949	C0011848	M0006146	D003919	Diabetes Insipidus
N0000181288	C2717785	M0525962	D056146	Corpse Dismemberment
N0000002726	C0036939	M0019762	D012753	Shared Paranoid Disorder
N0000002969	C0040425	M0021666	D014069	Tonsillitis
N0000001122	C0014522	M0007556	D004819	Epidermodysplasia Verruciformis
N0000181121	C0332715	M0534248	D057072	Intra-Articular Fractures
N0000002302	C0030436	M0015875	D010241	Parakeratosis
N0000003860	C0243025	M0028154	D018804	Hantavirus Pulmonary Syndrome
N0000181071	C0234250	M0494875	D053591	Pain, Referred
N0000003941	C0155320	M0029065	D019575	Blindness, Cortical
N0000003934	C0343084	M0029047	D019559	Capillary Leak Syndrome
N0000000788	C0008732	M0004456	D002915	Chylous Ascites
N0000000297	C0001247	M0000280	D000187	Actinobacillosis
N0000002839	C0038436	M0020602	D013313	Stress Disorders, Post-Traumatic
N0000004250	C0043246	M0356719	D022125	Lacerations
N0000000829	C0009663	M0004994	D003218	Condylomata Acuminata
N0000001142	C1276801	M0007676	D004887	Erysipeloid
N0000000575	C0005779	M0002683	D001778	Blood Coagulation Disorders
N0000003398	C0079772	M0025079	D016399	Lymphoma, T-Cell
N0000001201	C0015519	M0008155	D005171	Factor X Deficiency
N0000003692	C0206643	M0027447	D018218	Neoplasms, Fibrous Tissue
N0000002204	C0028796	M0015189	D009783	Dermatitis, Occupational
N0000003059	C0041466	M0022185	D014435	Typhoid Fever
N0000001274	C0016508	M0008721	D005532	Foot Deformities, Congenital
N0000000275	C0000832	M0000058	D000037	Abruptio Placentae
N0000002527	C0085631	M0018023	D011595	Psychomotor Agitation
N0000000791	C0008780	M0004477	D002925	Ciliary Motility Disorders
N0000000424	C0003128	M0001281	D000858	Anovulation
N0000001473	C0019048	M0010135	D006456	Hemoglobinuria
N0000003339	C0014306	M0024257	D015841	Enophthalmos
N0000002799	C0037939	M0020320	D013125	Spinal Neoplasms
N0000000599	C0006079	M0002852	D001913	Bowen's Disease
N0000002820	C0038187	M0020441	D013217	Starvation
N0000000311	C0001431	M0000374	D000237	Adenoma, Basophil
N0000001711	C0022116	M0011734	D007511	Ischemia
N0000001157	C0014850	M0007745	D004933	Esophageal Atresia
N0000181145	C0406702	M0492750	D053360	Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive
N0000000324	C0001621	M0000482	D000307	Adrenal Gland Diseases
N0000003997	C0265706	M0029878	D020139	Gastroschisis
N0000003758	C0206766	M0027528	D018294	Neoplasms, Adnexal and Skin Appendage
N0000000528	C0004692	M0002153	D001447	Balantidiasis
N0000001449	C0018891	M0010009	D006374	Helminthiasis, Animal
N0000003193	C0038826	M0023304	D015163	Superinfection
N0000001730	C0022504	M0011927	D007617	Kaposi Varicelliform Eruption
N0000001149	C0014761	M0007688	D004899	Erythroblastosis, Fetal
N0000001405	C0018552	M0009774	D006222	Hamartoma
N0000003225	C0017609	M0023640	D015355	Glaucoma, Neovascular
N0000001227	C0015806	M0008313	D005265	Femoral Neck Fractures
N0000181272	C2350233	M0508592	D054882	Antley-Bixler Syndrome Phenotype
N0000002195	C0028433	M0015013	D009669	Nose Neoplasms
N0000003146	C0042995	M0022857	D014846	Vulvar Neoplasms
N0000002508	C0033740	M0017926	D011528	Protozoan Infections
N0000000442	C0003500	M0001552	D001020	Aortic Stenosis, Subvalvular
N0000003115	C0042454	M0022583	D014681	Velopharyngeal Insufficiency
N0000002775	C0037341	M0019974	D012897	Slow Virus Diseases
N0000004024	C0037320	M0019967	D020184	Night Terrors
N0000000927	C0011401	M0005923	D003784	Dental Pulp Calcification
N0000181215	C1321489	M0519289	D055653	Muir-Torre Syndrome
N0000000893	C0010691	M0005557	D003555	Cystinuria
N0000002003	C0025500	M0013485	D008654	Mesothelioma
N0000011023	C1334455	M0459911	D047868	Pulmonary Sclerosing Hemangioma
N0000001391	C0018203	M0009615	D006105	Granulomatous Disease, Chronic
N0000182229	C2936209	M0538608	D057667	Conducted Energy Weapon Injuries
N0000002241	C0029400	M0015506	D010000	Osteitis
N0000002586	C0034933	M0018688	D012021	Reflex, Abnormal
N0000181136	C0376378	M0020329	D055010	Posterior Cervical Sympathetic Syndrome
N0000000632	C0006396	M0003043	D002044	Bunyaviridae Infections
N0000000978	C0012561	M0006524	D004169	Diphyllobothriasis
N0000003962	C0403529	M0029493	D019867	Anti-Glomerular Basement Membrane Disease
N0000003188	C0011269	M0023275	D015140	Dementia, Vascular
N0000003456	C0017409	M0025433	D016697	Herpes Zoster Oticus
N0000002428	C0032266	M0017053	D011006	Pneumatosis Cystoides Intestinalis
N0000001683	C0021345	M0011300	D007244	Infectious Mononucleosis
N0000002272	C0029927	M0015589	D010048	Ovarian Cysts
N0000181124	C0334663	M0507385	D054747	Histiocytic Sarcoma
N0000011127	C0521785	M0452651	D046088	Hearing Loss, Unilateral
N0000003298	C0035238	M0023964	D015619	Respiratory System Abnormalities
N0000003203	C0008313	M0023371	D015209	Cholangitis, Sclerosing
N0000000918	C0011330	M0005849	D003728	Dental Calculus
N0000182186	C0281508	M0542183	D058405	Desmoplastic Small Round Cell Tumor
N0000181293	C2717905	M0529318	D056829	Hereditary Angioedema Types I and II
N0000181122	C0333157	M0527076	D056364	Colloid Cysts
N0000001876	C0024081	M0012723	D008158	Ludwig's Angina
N0000181103	C0268547	M0529172	D056807	Argininosuccinic Aciduria
N0000001863	C0023891	M0012638	D008104	Liver Cirrhosis, Alcoholic
N0000001296	C0016788	M0008875	D005645	Fucosidosis
N0000011020	C1136033	M0405914	D034701	Mastocytosis, Cutaneous
N0000000287	C0001139	M0000230	D000151	Acinetobacter Infections
N0000003497	C0085404	M0025682	D016878	POEMS Syndrome
N0000002037	C0026640	M0014133	D009062	Mouth Neoplasms
N0000002344	C0030793	M0016102	D010386	Pelvic Neoplasms
N0000001894	C0024221	M0012787	D008202	Lymphangioma
N0000001344	C0017589	M0009255	D005896	Glanders
N0000001210	C0015634	M0008232	D005203	Farmer's Lung
N0000001569	C0020302	M0010732	D006871	Hydrophthalmos
N0000181212	C1301362	M0505010	D054446	Lymphoma, Primary Cutaneous Anaplastic Large Cell
N0000003893	C0221263	M0028478	D019080	Cafe-au-Lait Spots
N0000002889	C0039232	M0020998	D013611	Tachycardia, Atrioventricular Nodal Reentry
N0000181242	C1721006	M0494459	D053546	Keratoderma, Palmoplantar, Epidermolytic
N0000003823	C0149778	M0027697	D018461	Soft Tissue Infections
N0000001593	C0020474	M0010832	D006950	Hyperlipidemia, Familial Combined
N0000001561	C0020224	M0010680	D006831	Polyhydramnios
N0000003768	C0206717	M0027538	D018304	Esthesioneuroblastoma, Olfactory
N0000002213	C0028945	M0015273	D009837	Oligodendroglioma
N0000002333	C0030583	M0015977	D010309	Parotitis
N0000003072	C0041969	M0022332	D014522	Urethral Diseases
N0000001584	C0020453	M0010822	D006941	Hyperesthesia
N0000181026	C0022782	M0002152	D052798	Balanitis Xerotica Obliterans
N0000002123	C0027626	M0014576	D009361	Neoplasm Invasiveness
N0000001115	C0014457	M0007532	D004802	Eosinophilia
N0000002185	C0027962	M0014788	D009508	Nevus, Pigmented
N0000001293	C0016736	M0008850	D005627	Frostbite
N0000003555	C0162651	M0026129	D017219	Gastric Outlet Obstruction
